Αρχικός_Νομός,Καθαρισμένος_Νομός,Περιφέρεια
ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΠΙΕΡΙΑΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΧΑΛΚΙΔΙΚΗΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ
ΛΑΣΙΘΙΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ
ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
ΧΑΝΙΩΝ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ
ΑΝΔΡΟΥ,ΑΝΔΡΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΘΗΡΑΣ,ΘΗΡΑΣ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΑΛΥΜΝΟΥ,ΚΑΛΥΜΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΕΑΣ - ΚΥΘΝΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΥΚΛΑΔΩΝ,ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΩ,ΚΩ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΜΗΛΟΥ,ΜΗΛΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΝΑΞΟΥ,ΝΑΞΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΠΑΡΟΥ,ΠΑΡΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΡΟΔΟΥ,ΡΟΔΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΣΥΡΟΥ,ΣΥΡΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΤΗΝΟΥ,ΤΗΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΑΡΓΟΛΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΑΡΚΑΔΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΚΟΡΙΝΘΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΛΑΚΩΝΙΑΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΒΟΙΩΤΙΑΣ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΕΥΒΟΙΑΣ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΕΥΡΥΤΑΝΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΦΩΚΙΔΟΣ,ΦΩΚΙΔΟΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΑΡΓΟΛΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,
ΑΡΤΑΣ,ΑΡΤΑΣ,
ΔΩΔΕΚΑΝΗΣΩΝ,ΔΩΔΕΚΑΝΗΣΩΝ,
ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,
ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ,
ΚΕΦΑΛΛΟΝΙΑΣ,ΚΕΦΑΛΛΟΝΙΑΣ,
ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,
ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ,
ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,
ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ,
ΡΕΘΥΜΝΟΥ,ΡΕΘΥΜΝΟΥ,
ΦΘΙΩΤΙΔΑΣ,ΦΘΙΩΤΙΔΑΣ,
ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,
ΦΩΚΙΔΑΣ,ΦΩΚΙΔΑΣ,
