Δήμος,Καθαρισμένο_Όνομα,Δήμος_Κλεισθένη
Δ. ΒΕΡΟΙΑΣ,ΒΕΡΟΙΑΣ,ΒΕΡΟΙΑΣ
Δ. ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ
Δ. ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ
Δ. ΛΑΥΡΕΩΤΙΚΗΣ,ΛΑΥΡΕΩΤΙΚΗΣ,ΛΑΥΡΕΩΤΙΚΗΣ
Δ. ΚΕΦΑΛΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,ΑΡΓΟΣΤΟΛΙΟΥ
Δ. ΣΟΦΑΔΩΝ,ΣΟΦΑΔΩΝ,ΣΟΦΑΔΩΝ
Δ. ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ
Δ. ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ
Δ. ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΠΩΓΩΝΙΟΥ,ΠΩΓΩΝΙΟΥ,ΠΩΓΩΝΙΟΥ
Δ. ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ
Δ. ΗΡΑΚΛΕΙΑΣ,ΗΡΑΚΛΕΙΑΣ,ΗΡΑΚΛΕΙΑΣ
Δ. ΧΙΟΥ,ΧΙΟΥ,ΧΙΟΥ
Δ. ΛΑΓΚΑΔΑ,ΛΑΓΚΑΔΑ,ΛΑΓΚΑΔΑ
Δ. ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ
Δ. ΖΑΧΑΡΩΣ,ΖΑΧΑΡΩΣ,ΖΑΧΑΡΩΣ
Δ. ΠΑΡΑΝΕΣΤΙΟΥ,ΠΑΡΑΝΕΣΤΙΟΥ,ΠΑΡΑΝΕΣΤΙΟΥ
Δ. ΜΑΚΡΑΚΩΜΗΣ,ΜΑΚΡΑΚΩΜΗΣ,ΜΑΚΡΑΚΩΜΗΣ
Δ. ΚΩ,ΚΩ,ΚΩ
Δ. ΜΕΓΑΛΟΠΟΛΗΣ,ΜΕΓΑΛΟΠΟΛΗΣ,ΜΕΓΑΛΟΠΟΛΗΣ
Δ. ΚΑΛΑΜΠΑΚΑΣ,ΚΑΛΑΜΠΑΚΑΣ,ΚΑΛΑΜΑΤΑΣ
Δ. ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΩΝ
Δ. ΑΝΔΡΟΥ,ΑΝΔΡΟΥ,ΑΝΔΡΟΥ
Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
Δ. ΤΡΙΦΥΛΛΙΑΣ,ΤΡΙΦΥΛΛΙΑΣ,ΤΡΙΦΥΛΛΙΑΣ
Δ. ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ
Δ. ΣΙΚΥΩΝΙΩΝ,ΣΙΚΥΩΝΙΩΝ,ΣΙΚΥΩΝΙΩΝ
Δ. ΛΕΥΚΑΔΟΣ,ΛΕΥΚΑΔΟΣ,ΛΕΥΚΑΔΑΣ
Δ. ΕΥΡΩΤΑ,ΕΥΡΩΤΑ,ΕΥΡΩΤΑ
Δ. ΒΙΣΑΛΤΙΑΣ,ΒΙΣΑΛΤΙΑΣ,ΒΙΣΑΛΤΙΑΣ
Δ. ΖΑΚΥΝΘΙΩΝ,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ
Δ. ΙΑΣΜΟΥ,ΙΑΣΜΟΥ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΣΚΥΔΡΑΣ,ΣΚΥΔΡΑΣ,ΣΚΥΔΡΑΣ
Δ. ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ
Δ. ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ
Δ. ΗΓΟΥΜΕΝΙΤΣΑΣ,ΗΓΟΥΜΕΝΙΤΣΑΣ,ΗΓΟΥΜΕΝΙΤΣΑΣ
Δ. ΠΥΡΓΟΥ,ΠΥΡΓΟΥ,ΠΥΡΓΟΥ
Δ. ΠΑΛΑΜΑ,ΠΑΛΑΜΑ,ΠΑΛΑΜΑ
Δ. ΟΙΧΑΛΙΑΣ,ΟΙΧΑΛΙΑΣ,ΟΙΧΑΛΙΑΣ
Δ. ΠΥΛΗΣ,ΠΥΛΗΣ,ΠΥΛΗΣ
Δ. ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ
Δ. ΛΑΡΙΣΑΙΩΝ,ΛΑΡΙΣΑΙΩΝ,ΛΑΡΙΣΑΙΩΝ
Δ. ΕΔΕΣΣΑΣ,ΕΔΕΣΣΑΣ,ΕΔΕΣΣΑΣ
Δ. ΖΗΡΟΥ,ΖΗΡΟΥ,ΖΗΡΟΥ
Δ. ΣΙΝΤΙΚΗΣ,ΣΙΝΤΙΚΗΣ,ΣΙΝΤΙΚΗΣ
Δ. ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ
Δ. ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ
Δ. ΑΡΙΣΤΟΤΕΛΗ,ΑΡΙΣΤΟΤΕΛΗ,ΑΡΙΣΤΟΤΕΛΗ
Δ. ΚΑΛΑΒΡΥΤΩΝ,ΚΑΛΑΒΡΥΤΩΝ,ΚΑΛΑΒΡΥΤΩΝ
Δ. ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ
Δ. ΚΑΣΣΑΝΔΡΑΣ,ΚΑΣΣΑΝΔΡΑΣ,ΚΑΣΣΑΝΔΡΑΣ
Δ. ΦΙΛΙΑΤΩΝ,ΦΙΛΙΑΤΩΝ,ΦΙΛΙΑΤΩΝ
Δ. ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ
Δ. ΑΡΤΑΙΩΝ,ΑΡΤΑΙΩΝ,ΑΡΤΑΙΩΝ
Δ. ΛΑΜΙΕΩΝ,ΛΑΜΙΕΩΝ,ΛΑΜΙΕΩΝ
Δ. ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ
Δ. ΑΛΜΥΡΟΥ,ΑΛΜΥΡΟΥ,ΑΛΜΥΡΟΥ
Δ. ΣΤΥΛΙΔΑΣ,ΣΤΥΛΙΔΑΣ,ΣΤΥΛΙΔΑΣ
Δ. ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ
Δ.ΒΟΛΟΥ,ΒΟΛΟΥ,ΒΟΛΟΥ
Δ. ΙΘΑΚΗΣ,ΙΘΑΚΗΣ,ΙΘΑΚΗΣ
Δ. ΤΗΝΟΥ,ΤΗΝΟΥ,ΤΗΝΟΥ
Δ. ΑΛΜΩΠΙΑΣ,ΑΛΜΩΠΙΑΣ,ΑΛΜΩΠΙΑΣ
Δ. ΙΕΡΑΠΕΤΡΑΣ,ΙΕΡΑΠΕΤΡΑΣ,ΙΕΡΑΠΕΤΡΑΣ
Δ. ΜΕΓΑΡΕΩΝ,ΜΕΓΑΡΕΩΝ,ΜΕΓΑΡΕΩΝ
Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ
Δ. ΜΟΥΖΑΚΙΟΥ,ΜΟΥΖΑΚΙΟΥ,ΜΟΥΖΑΚΙΟΥ
Δ. ΤΡΙΠΟΛΗΣ,ΤΡΙΠΟΛΗΣ,ΤΡΙΠΟΛΗΣ
Δ. ΑΓΙΑΣ,ΑΓΙΑΣ,ΑΓΙΑΣ
Δ. ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ,ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ,ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ
Δ. ΤΕΜΠΩΝ,ΤΕΜΠΩΝ,ΤΕΜΠΩΝ
Δ. ΚΑΡΥΣΤΟΥ,ΚΑΡΥΣΤΟΥ,ΚΑΡΥΣΤΟΥ
Δ. ΑΙΓΙΝΑΣ,ΑΙΓΙΝΑΣ,ΑΙΓΙΝΑΣ
Δ. ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ
Δ. ΕΠΙΔΑΥΡΟΥ,ΕΠΙΔΑΥΡΟΥ,ΕΠΙΔΑΥΡΟΥ
Δ. ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ
Δ. ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ
Δ. ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ
Δ. ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΝΟΤΙΟΥ ΠΗΛΙΟΥ
Δ. ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ
Δ. ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ
Δ. ΡΟΔΟΥ,ΡΟΔΟΥ,ΡΟΔΟΥ
Δ. ΔΕΛΦΩΝ,ΔΕΛΦΩΝ,ΔΕΛΦΩΝ
Δ. ΔΙΟΝΥΣΟΥ,ΔΙΟΝΥΣΟΥ,ΔΙΟΝΥΣΟΥ
Δ. ΛΙΜΝΗ ΠΛΑΣΤΗΡΑ,ΛΙΜΝΗ ΠΛΑΣΤΗΡΑ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΛΕΒΑΔΕΩΝ,ΛΕΒΑΔΕΩΝ,ΛΕΒΑΔΕΩΝ
Δ. ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ
Δ. ΝΕΣΤΟΥ,ΝΕΣΤΟΥ,ΝΕΣΤΟΥ
Δ. ΣΙΘΩΝΙΑΣ,ΣΙΘΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ
Δ. ΚΥΘΗΡΩΝ,ΚΥΘΗΡΩΝ,ΚΥΘΗΡΩΝ
Δ. ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
Δ. ΚΑΛΑΜΑΤΑΣ,ΚΑΛΑΜΑΤΑΣ,ΚΑΛΑΜΑΤΑΣ
Δ. ΞΗΡΟΜΕΡΟΥ,ΞΗΡΟΜΕΡΟΥ,ΞΗΡΟΜΕΡΟΥ
Δ. ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΗΣ
Δ. ΜΟΝΕΜΒΑΣΙΑΣ,ΜΟΝΕΜΒΑΣΙΑΣ,ΜΟΝΕΜΒΑΣΙΑΣ
Δ. ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ
Δ. ΗΛΙΔΑΣ,ΗΛΙΔΑΣ,ΗΛΙΔΑΣ
Δ. ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ
Δ. ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ
Δ. ΠΑΡΓΑΣ,ΠΑΡΓΑΣ,ΠΑΡΓΑΣ
Δ. ΠΑΓΓΑΙΟΥ,ΠΑΓΓΑΙΟΥ,ΠΑΝΓΑΙΟΥ
Δ. ΕΡΥΜΑΝΘΟΥ,ΕΡΥΜΑΝΘΟΥ,ΕΡΥΜΑΝΘΟΥ
Δ. ΧΑΛΚΙΔΕΩΝ,ΧΑΛΚΙΔΕΩΝ,ΧΑΛΚΙΔΕΩΝ
Δ. ΜΥΛΟΠΟΤΑΜΟΥ,ΜΥΛΟΠΟΤΑΜΟΥ,ΜΥΛΟΠΟΤΑΜΟΥ
Δ. ΣΚΥΡΟΥ,ΣΚΥΡΟΥ,ΣΚΥΡΟΥ
Δ. ΦΑΙΣΤΟΥ,ΦΑΙΣΤΟΥ,ΦΑΙΣΤΟΥ
Δ. ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ,ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ,ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ
Δ. ΝΑΞΟΥ &ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ &ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ
Δ. ΧΑΝΙΩΝ,ΧΑΝΙΩΝ,ΧΑΝΙΩΝ
Δ. ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ
Δ. ΤΟΠΕΙΡΟΥ,ΤΟΠΕΙΡΟΥ,ΤΟΠΕΙΡΟΥ
Δ. ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ
Δ. ΧΑΛΚΗΔΟΝΟΣ,ΧΑΛΚΗΔΟΝΟΣ,ΧΑΛΚΗΔΟΝΟΣ
Δ. ΟΡΧΟΜΕΝΟΥ,ΟΡΧΟΜΕΝΟΥ,ΟΡΧΟΜΕΝΟΥ
Δ. ΔΕΛΤΑ,ΔΕΛΤΑ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΣΑΜΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ
Δ. ΜΑΛΕΒΙΖΙΟΥ,ΜΑΛΕΒΙΖΙΟΥ,ΜΑΛΕΒΙΖΙΟΥ
Δ. ΒΙΑΝΝΟΥ,ΒΙΑΝΝΟΥ,ΒΙΑΝΝΟΥ
Δ. ΠΑΡΟΥ,ΠΑΡΟΥ,ΠΑΡΟΥ
Δ. ΕΡΜΙΟΝΙΔΑΣ,ΕΡΜΙΟΝΙΔΑΣ,ΕΡΜΙΟΝΙΔΑΣ
Δ. ΝΕΑΣ ΖΙΧΝΗΣ,ΝΕΑΣ ΖΙΧΝΗΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ
Δ. ΑΜΦΙΠΟΛΗΣ,ΑΜΦΙΠΟΛΗΣ,ΑΜΦΙΠΟΛΗΣ
Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ
Δ. ΘΗΒΑΙΩΝ,ΘΗΒΑΙΩΝ,ΘΗΒΑΙΩΝ
Δ. ΣΟΥΛΙΟΥ,ΣΟΥΛΙΟΥ,ΣΟΥΛΙΟΥ
Δ. ΟΡΕΣΤΙΑΔΑΣ,ΟΡΕΣΤΙΑΔΑΣ,ΟΡΕΣΤΙΑΔΑΣ
Δ. ΖΙΤΣΑΣ,ΖΙΤΣΑΣ,ΖΙΤΣΑΣ
Δ. ΦΑΡΚΑΔΟΝΑΣ,ΦΑΡΚΑΔΟΝΑΣ,ΦΑΡΚΑΔΟΝΑΣ
Δ. ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ
Δ. ΠΟΛΥΓΥΡΟΥ,ΠΟΛΥΓΥΡΟΥ,ΠΟΛΥΓΥΡΟΥ
Δ. ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ
Δ. ΒΟΪΟΥ,ΒΟΪΟΥ,ΒΟΙΟΥ
Δ. ΠΡΟΣΟΤΣΑΝΗΣ,ΠΡΟΣΟΤΣΑΝΗΣ,ΠΡΟΣΟΤΣΑΝΗΣ
Δ. ΔΙΟΥ-ΟΛΥΜΠΙΟΥ,ΔΙΟΥ-ΟΛΥΜΠΙΟΥ,ΔΙΟΥ - ΟΛΥΜΠΟΥ
Δ. ΛΕΣΒΟΥ,ΜΥΤΙΛΗΝΗΣ,ΜΥΤΙΛΗΝΗΣ
Δ. ΚΙΛΕΛΕΡ,ΚΙΛΕΛΕΡ,ΚΙΛΕΛΕΡ
Δ. ΔΩΡΙΔΟΑΣ,ΔΩΡΙΔΟΑΣ,ΔΩΡΙΔΟΣ
Δ. ΝΑΟΥΣΑΣ,ΝΑΟΥΣΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΠΑΤΡΕΩΝ,ΠΑΤΡΕΩΝ,ΠΑΤΡΕΩΝ
Δ. ΩΡΑΙΟΚΑΣΤΡΟΥ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΩΡΑΙΟΚΑΣΤΡΟΥ
Δ. ΔΟΞΑΤΟΥ,ΔΟΞΑΤΟΥ,ΔΟΞΑΤΟΥ
Δ. ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ
Δ. ΕΟΡΔΑΙΑΣ,ΕΟΡΔΑΙΑΣ,ΕΟΡΔΑΙΑΣ
Δ. ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ,ΣΕΡΒΙΩΝ,ΣΕΡΒΙΩΝ
Δ. ΤΥΡΝΑΒΟΥ,ΤΥΡΝΑΒΟΥ,ΤΥΡΝΑΒΟΥ
Δ. ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ
Δ. ΣΟΥΦΛΙΟΥ,ΣΟΥΦΛΙΟΥ,ΣΟΥΦΛΙΟΥ
Δ. ΑΒΔΗΡΩΝ,ΑΒΔΗΡΩΝ,ΑΒΔΗΡΩΝ
Δ. ΘΕΡΜΗΣ,ΘΕΡΜΗΣ,ΘΕΡΜΗΣ
Δ. ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ
Δ. ΔΕΣΚΑΤΗΣ,ΔΕΣΚΑΤΗΣ,ΔΕΣΚΑΤΗΣ
Δ. ΣΚΙΑΘΟΥ,ΣΚΙΑΘΟΥ,ΣΚΙΑΘΟΥ
Δ. ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ
Δ. ΟΡΕΣΤΙΔΟΣ,ΟΡΕΣΤΙΔΟΣ,ΟΡΕΣΤΙΑΔΑΣ
Δ. ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ
Δ. ΖΑΓΟΡΙΟΥ,ΖΑΓΟΡΙΟΥ,ΖΑΓΟΡΙΟΥ
Δ. ΠΡΕΣΠΩΝ,ΠΡΕΣΠΩΝ,ΠΡΕΣΠΩΝ
Δ. ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ
Δ. ΑΠΟΚΟΡΩΝΟΥ,ΑΠΟΚΟΡΩΝΟΥ,ΑΠΟΚΟΡΩΝΟΥ
Δ. ΜΩΛΟΥ,ΜΩΛΟΥ,ΚΙΜΩΛΟΥ
Δ. ΠΗΝΕΙΟΥ,ΠΗΝΕΙΟΥ,ΠΗΝΕΙΟΥ
Δ. ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ
Δ. ΦΑΡΣΑΛΩΝ,ΦΑΡΣΑΛΩΝ,ΦΑΡΣΑΛΩΝ
Δ. ΛΟΚΡΩΝ ,ΛΟΚΡΩΝ,ΛΟΚΡΩΝ
Δ. ΑΓΡΑΦΩΝ,ΑΓΡΑΦΩΝ,ΑΓΡΑΦΩΝ
Δ. ΕΡΕΤΡΙΑΣ,ΕΡΕΤΡΙΑΣ,ΕΡΕΤΡΙΑΣ
Δ. ΡΕΘΥΜΝΗΣ,ΡΕΘΥΜΝΗΣ,ΡΕΘΥΜΝΗΣ
Δ. ΤΑΝΑΓΡΑΣ,ΤΑΝΑΓΡΑΣ,ΤΑΝΑΓΡΑΣ
Δ. ΖΑΓΟΡΑΣ-ΜΟΥΡΕΣΙΟΥ,ΖΑΓΟΡΑΣ-ΜΟΥΡΕΣΙΟΥ,ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ
